t_headset2world_x, t_headset2world_y, t_headset2world_z, q_headset2world_x, q_headset2world_y, q_headset2world_z, q_headset2world_w, t_target2cam_x, t_target2cam_y, t_target2cam_z, q_target2cam_x, q_target2cam_y, q_target2cam_z, q_target2cam_w
   -0.6681,  -0.4679,   0.4804,   0.0009,  -0.0377,  -0.0184,  0.9991,  -0.6558,   0.1536,  0.1285,  -0.0131,  0.1074,  0.0136,  0.9940
   -0.6182,  -0.7236,   0.4805,  -0.0023,  -0.0378,   0.0863,  0.9955,  -0.5592,   0.2496,  0.1322,  -0.0015,  0.1104, -0.0893,  0.9899
   -0.6829,  -0.8294,   0.4743,  -0.0028,  -0.0383,   0.0949,  0.9947,  -0.4657,   0.3203,  0.1298,  -0.0015,  0.1103, -0.0960,  0.9892
   -0.6912,  -0.4723,   0.4770,   0.0009,  -0.0370,  -0.0186,  0.9991,  -0.6324,   0.1520,  0.1286,  -0.0136,  0.1069,  0.0115,  0.9941
   -0.7446,  -0.1602,   0.4749,   0.0018,  -0.0369,  -0.0815,  0.9960,  -0.6146,  -0.0630,  0.1206,  -0.0187,  0.0974,  0.0739,  0.9923
   -0.7734,   0.0937,   0.4714,   0.0045,  -0.0374,  -0.1490,  0.9881,  -0.5610,  -0.2144,  0.1339,  -0.0244,  0.1071,  0.1510,  0.9824
   -0.7682,   0.3222,   0.4696,   0.0071,  -0.0386,  -0.1960,  0.9798,  -0.5035,  -0.3556,  0.1362,  -0.0304,  0.1085,  0.1974,  0.9738
   -0.7413,   0.4683,   0.4718,   0.0094,  -0.0381,  -0.2343,  0.9714,  -0.4679,  -0.4368,  0.1387,  -0.0354,  0.1091,  0.2359,  0.9650
   -0.8248,   0.2137,   0.4669,   0.0089,  -0.0368,  -0.1749,  0.9839,  -0.4832,  -0.2765,  0.1361,  -0.0308,  0.1073,  0.1763,  0.9780
   -0.8487,  -0.0966,   0.4637,   0.0027,  -0.0375,  -0.0892,  0.9953,  -0.5080,  -0.1071,  0.1271,  -0.0193,  0.1007,  0.0832,  0.9912
   -0.8400,  -0.3473,   0.4628,   0.0015,  -0.0379,  -0.0368,  0.9986,  -0.5001,   0.0553,  0.1310,  -0.0148,  0.1077,  0.0284,  0.9937
   -0.7442,  -0.6819,   0.4663,  -0.0018,  -0.0384,   0.0735,  0.9966,  -0.4613,   0.1953,  0.1296,  -0.0042,  0.1086, -0.0779,  0.9910
   -0.5280,  -0.9533,   0.4795,  -0.0053,  -0.0381,   0.1921,  0.9806,  -0.4404,   0.2974,  0.1274,   0.0073,  0.1054, -0.1906,  0.9760
   -0.5286,  -0.7620,   0.4851,  -0.0028,  -0.0372,   0.0995,  0.9943,  -0.6256,   0.2710,  0.1213,  -0.0020,  0.1015, -0.1003,  0.9898
   -0.5303,  -0.5670,   0.4865,  -0.0007,  -0.0373,   0.0328,  0.9988,  -0.7336,   0.1737,  0.1204,  -0.0078,  0.1015, -0.0384,  0.9941
   -0.6224,  -0.2904,   0.4812,   0.0021,  -0.0371,  -0.0739,  0.9966,  -0.7448,   0.0304,  0.1235,  -0.0179,  0.1022,  0.0670,  0.9923
   -0.6570,  -0.0135,   0.4790,   0.0038,  -0.0369,  -0.1314,  0.9906,  -0.6895,  -0.1792,  0.1371,  -0.0228,  0.1097,  0.1362,  0.9843
   -0.6625,   0.1545,   0.4781,   0.0061,  -0.0373,  -0.1698,  0.9848,  -0.6531,  -0.2862,  0.1362,  -0.0271,  0.1087,  0.1706,  0.9790
   -0.8112,   0.1606,   0.4642,   0.0063,  -0.0383,  -0.1840,  0.9822,  -0.5212,  -0.2225,  0.1304,  -0.0302,  0.1045,  0.1851,  0.9767
   -0.9013,  -0.1185,   0.4611,   0.0007,  -0.0380,  -0.0654,  0.9971,  -0.4395,  -0.1271,  0.1321,  -0.0150,  0.1062,  0.0683,  0.9919
   -0.7310,   0.0992,   0.4755,   0.0040,  -0.0371,  -0.1387,  0.9896,  -0.5943,  -0.2495,  0.1353,  -0.0250,  0.1073,  0.1396,  0.9841
   -0.6554,  -0.1692,   0.4775,   0.0022,  -0.0368,  -0.0601,  0.9975,  -0.6860,  -0.1214,  0.1275,  -0.0167,  0.1026,  0.0619,  0.9927
   -0.5527,  -0.3191,   0.4846,   0.0011,  -0.0368,  -0.0273,  0.9989,  -0.7760,  -0.0216,  0.1238,  -0.0141,  0.1016,  0.0305,  0.9943
   -0.4645,  -0.5852,   0.4886,  -0.0005,  -0.0374,   0.0342,  0.9987,  -0.7957,   0.1837,  0.1249,  -0.0083,  0.1048, -0.0378,  0.9937
   -0.3903,  -0.7861,   0.4928,  -0.0026,  -0.0376,   0.0970,  0.9946,  -0.7558,   0.3201,  0.1187,  -0.0026,  0.1023, -0.0998,  0.9897
   -0.3056,  -0.9253,   0.4987,  -0.0048,  -0.0372,   0.1489,  0.9881,  -0.7224,   0.4089,  0.1257,   0.0051,  0.1050, -0.1483,  0.9833
   -0.2585,  -0.7481,   0.5051,  -0.0035,  -0.0373,   0.0964,  0.9946,  -0.8969,   0.3055,  0.1182,  -0.0007,  0.1019, -0.0944,  0.9903
