t_Robot_config_x, t_Robot_config_y, t_Robot_config_z; q_Robot_config_x, q_Robot_config_y, q_Robot_config_z, q_Robot_config_w; t_camera_config_x, t_camera_config_y, t_camera_config_z; q_camera_config_x, q_camera_config_y, q_camera_config_z, q_camera_config_w
0.7995,  0.6764,  -0.4444;  0.0061,  0.0711, -0.0967,  0.9928;  0.5008,  0.0039,  0.0082; -0.0043, -0.1351,  0.0954,  0.9862;
0.8441,  0.5409,  -0.4442; -0.0039,  0.0715,  0.0584,  0.9957;  0.4663, -0.0277, -0.0017;  0.0167, -0.1373, -0.0580,  0.9887;
0.6548,  0.5192,  -0.4437; -0.0050,  0.0699,  0.0592,  0.9958;  0.6469, -0.0337,  0.0480;  0.0182, -0.1360, -0.0571,  0.9889;
0.8506,  0.3871,  -0.4447; -0.0098,  0.0717,  0.1491,  0.9862;  0.5022,  0.0265,  0.0093;  0.0289, -0.1377, -0.1481,  0.9789;
0.7204,  0.9142,  -0.4442;  0.0085,  0.0695, -0.1566,  0.9852;  0.6268, -0.1329,  0.0413; -0.0110, -0.1320,  0.1537,  0.9792;
0.8897,  0.6960,  -0.4444;  0.0027,  0.0716, -0.0486,  0.9962;  0.4176, -0.0739, -0.0159;  0.0028, -0.1374,  0.0471,  0.9894;
0.8708,  0.4726,  -0.4455; -0.0079,  0.0706,  0.1239,  0.9897;  0.4566, -0.0206, -0.0048;  0.0261, -0.1359, -0.1196,  0.9831;
0.8356,  0.3269,  -0.4458; -0.0106,  0.0707,  0.1556,  0.9852;  0.5346,  0.0734,  0.0180;  0.0300, -0.1370, -0.1547,  0.9780;
0.6564,  0.2667,  -0.4451; -0.0127,  0.0696,  0.1581,  0.9849;  0.7146,  0.0675,  0.0694;  0.0326, -0.1365, -0.1543,  0.9780;
0.4955,  0.2550,  -0.4449; -0.0162,  0.0683,  0.1923,  0.9788;  0.8650, -0.0399,  0.1116;  0.0382, -0.1359, -0.1878,  0.9720;
0.6454,  0.6688,  -0.4456;  0.0011,  0.0709, -0.0374,  0.9968;  0.6447, -0.0428,  0.0489;  0.0048, -0.1355,  0.0402,  0.9899;
0.7113,  0.8003,  -0.4455;  0.0163,  0.0687, -0.2650,  0.9617;  0.5824,  0.1248,  0.0306; -0.0270, -0.1300,  0.2698,  0.9537;
0.7396,  1.0164,  -0.4454;  0.0132,  0.0688, -0.2204,  0.9729;  0.6546, -0.1435,  0.0491; -0.0201, -0.1306,  0.2178,  0.9670;
0.7479,  1.0143,  -0.4453;  0.0095,  0.0699, -0.1591,  0.9847;  0.6292, -0.2321,  0.0422; -0.0121, -0.1328,  0.1554,  0.9788;
0.8481,  0.6697,  -0.4462;  0.0021,  0.0716, -0.0403,  0.9966;  0.4529, -0.0513, -0.0052;  0.0031, -0.1381,  0.0405,  0.9896;
0.8454,  0.4818,  -0.4459; -0.0063,  0.0710,  0.0952,  0.9929;  0.4748, -0.0039,  0.0005;  0.0211, -0.1375, -0.0912,  0.9861;
0.7363,  0.3660,  -0.4456; -0.0089,  0.0700,  0.1207,  0.9902;  0.6055,  0.0522,  0.0370;  0.0261, -0.1354, -0.1207,  0.9831;
0.5875,  0.4023,  -0.4456; -0.0064,  0.0698,  0.0782,  0.9945;  0.7291,  0.0458,  0.0718;  0.0208, -0.1320, -0.0734,  0.9883;
0.4853,  0.6313,  -0.4458; -0.0002,  0.0704, -0.0269,  0.9972;  0.7961, -0.0148,  0.0916;  0.0064, -0.1472,  0.0209,  0.9889;
0.5613,  0.3534,  -0.4462; -0.0165,  0.0689,  0.2187,  0.9732;  0.7651, -0.1484,  0.0839;  0.0400, -0.1390, -0.2180,  0.9652;
