t_Robot_config_x, t_Robot_config_y, t_Robot_config_z; q_Robot_config_x, q_Robot_config_y, q_Robot_config_z, q_Robot_config_w; t_camera_config_x, t_camera_config_y, t_camera_config_z; q_camera_config_x, q_camera_config_y, q_camera_config_z, q_camera_config_w
 0.6312, 0.2101, -0.6092;  0.0145, 0.0501, -0.0100, 0.9986;  0.6114, -0.0416, 0.0296; 0.0071, -0.1339, 0.0333, 0.9904;
 0.6323, 0.0226, -0.6149;   0.0129, 0.0500, 0.0399, 0.9979;   0.6140, 0.0804, 0.0313; 0.0118, -0.1250, -0.0206, 0.9919;
0.6764, -0.1200, -0.6196;   0.0122, 0.0492, 0.0678, 0.9964;   0.5900, 0.1901, 0.0248; 0.0147, -0.1295, -0.0548, 0.9900;
0.6745, -0.0229, -0.6157;   0.0151, 0.0507, 0.0066, 0.9986;   0.5703, 0.1729, 0.0198; 0.0072, -0.1302, 0.0036, 0.9915;
 0.7139, 0.1364, -0.6101;  0.0187, 0.0513, -0.0731, 0.9958;   0.5302, 0.1074, 0.0080; -0.0026, -0.1212, 0.0898, 0.9885;
 0.7338, 0.2998, -0.6045;  0.0194, 0.0521, -0.1066, 0.9927;  0.5383, -0.0173, 0.0102; -0.0035, -0.1315, 0.1249, 0.9834;
 0.7711, 0.4333, -0.5996;  0.0202, 0.0521, -0.1101, 0.9924;  0.5336, -0.1500, 0.0081; -0.0060, -0.1334, 0.1281, 0.9827;
 0.7464, 0.2913, -0.6046;  0.0142, 0.0504, -0.0053, 0.9986;  0.5032, -0.1263, 0.0001; 0.0075, -0.1331, 0.0297, 0.9906;
 0.7370, 0.1747, -0.6079;  0.0145, 0.0508, -0.0072, 0.9986;  0.5101, -0.0049, 0.0031; 0.0068, -0.1311, 0.0400, 0.9905;
 0.7416, 0.0267, -0.6126;  0.0171, 0.0518, -0.0286, 0.9981;   0.5006, 0.1669, 0.0012; 0.0016, -0.1263, 0.0414, 0.9911;
0.7630, -0.0771, -0.6156;   0.0108, 0.0497, 0.0772, 0.9957;   0.5069, 0.1540, 0.0025; 0.0158, -0.1285, -0.0637, 0.9895;
 0.7694, 0.0456, -0.6112;   0.0127, 0.0507, 0.0230, 0.9984;  0.4827, 0.0918, -0.0047; 0.0104, -0.1267, -0.0054, 0.9919;
 0.7509, 0.1641, -0.6077;  0.0182, 0.0517, -0.0807, 0.9952;  0.4985, 0.0879, -0.0003; -0.0019, -0.1294, 0.0991, 0.9866;
 0.6931, 0.1346, -0.6091;   0.0137, 0.0504, 0.0017, 0.9986;   0.5519, 0.0264, 0.0137; 0.0072, -0.1264, 0.0251, 0.9916;
 0.7499, 0.0521, -0.6109;   0.0058, 0.0481, 0.1352, 0.9896; 0.4951, -0.0388, -0.0017; 0.0254, -0.1260, -0.1136, 0.9852;
 0.8226, 0.0661, -0.6101;   0.0093, 0.0500, 0.0857, 0.9950;  0.4304, 0.0142, -0.0180; 0.0183, -0.1280, -0.0651, 0.9895;
0.7530, -0.0658, -0.6140;   0.0098, 0.0492, 0.0837, 0.9952;   0.5172, 0.1383, 0.0047; 0.0166, -0.1285, -0.0716, 0.9890;
 0.6384, 0.1103, -0.6095;   0.0128, 0.0505, 0.0048, 0.9986;   0.6056, 0.0503, 0.0282; 0.0088, -0.1256, 0.0147, 0.9919;
 0.6160, 0.3044, -0.6044;  0.0185, 0.0517, -0.0938, 0.9941;  0.6465, -0.0053, 0.0395; -0.0038, -0.1344, 0.1135, 0.9844;
 0.6370, 0.4560, -0.5995;  0.0206, 0.0518, -0.1278, 0.9902;  0.6681, -0.1078, 0.0439; -0.0084, -0.1302, 0.1432, 0.9811;
 0.7188, 0.4045, -0.6001;  0.0175, 0.0518, -0.0656, 0.9963;  0.5599, -0.1563, 0.0162; -0.0010, -0.1337, 0.0876, 0.9871;
 0.7333, 0.2304, -0.6051;   0.0102, 0.0498, 0.0484, 0.9975;  0.5030, -0.1167, 0.0001; 0.0145, -0.1322, -0.0210, 0.9909;
 0.7280, 0.0800, -0.6094;   0.0090, 0.0497, 0.0846, 0.9951;  0.5179, -0.0090, 0.0055; 0.0183, -0.1276, -0.0620, 0.9897;
0.6944, -0.1381, -0.6160;   0.0051, 0.0482, 0.1554, 0.9867;   0.5972, 0.1078, 0.0273; 0.0264, -0.1283, -0.1428, 0.9810;
 0.7156, 0.1211, -0.6047;   0.0101, 0.0511, 0.0355, 0.9980;   0.5333, 0.0210, 0.0092; 0.0128, -0.1279, -0.0123, 0.9916;
 0.7138, 0.3048, -0.6000;  0.0167, 0.0523, -0.0885, 0.9946;  0.5540, -0.0137, 0.0146; -0.0014, -0.1297, 0.1073, 0.9857;
 0.6042, 0.1936, -0.6046;  0.0126, 0.0510, -0.0057, 0.9986;  0.6373, -0.0009, 0.0377; 0.0064, -0.1289, 0.0388, 0.9909;
 0.6946, 0.0869, -0.6058;   0.0052, 0.0494, 0.1199, 0.9915;  0.5499, -0.0454, 0.0138; 0.0234, -0.1248, -0.1022, 0.9866;
 0.7170, 0.1457, -0.6034;  0.0134, 0.0518, -0.0263, 0.9982;   0.5324, 0.0736, 0.0087; 0.0042, -0.1247, 0.0388, 0.9914;
 0.7645, 0.1168, -0.6041;   0.0085, 0.0510, 0.0721, 0.9961; 0.4857, -0.0066, -0.0030; 0.0169, -0.1267, -0.0473, 0.9907;
0.7386, -0.0233, -0.6073;   0.0024, 0.0483, 0.1675, 0.9847;   0.5350, 0.0186, 0.0096; 0.0283, -0.1247, -0.1484, 0.9806;
0.6347, -0.1458, -0.6114;   0.0031, 0.0485, 0.1510, 0.9873;   0.6649, 0.1253, 0.0448; 0.0270, -0.1251, -0.1335, 0.9827;
0.5649, -0.0064, -0.6082;   0.0069, 0.0493, 0.0880, 0.9949;   0.6908, 0.0669, 0.0511; 0.0191, -0.1278, -0.0727, 0.9889;
 0.5367, 0.1847, -0.6038;  0.0117, 0.0512, -0.0088, 0.9986;   0.7027, 0.0213, 0.0552; 0.0064, -0.1300, 0.0501, 0.9902;
 0.5953, 0.3249, -0.5994;  0.0119, 0.0515, -0.0178, 0.9984;  0.6555, -0.1030, 0.0419; 0.0069, -0.1235, 0.0370, 0.9916;
 0.7405, 0.3418, -0.5968;  0.0158, 0.0529, -0.0755, 0.9956;  0.5335, -0.0588, 0.0096; -0.0006, -0.1297, 0.0961, 0.9869;
 0.6389, 0.2966, -0.5992;  0.0147, 0.0516, -0.0595, 0.9968;  0.6179, -0.0197, 0.0319; 0.0003, -0.1324, 0.0805, 0.9879;
 0.6669, 0.1479, -0.6032;   0.0076, 0.0508, 0.0694, 0.9963;  0.5762, -0.0404, 0.0215; 0.0168, -0.1256, -0.0500, 0.9907;
 0.7129, 0.0486, -0.6051;   0.0063, 0.0499, 0.0984, 0.9939;   0.5462, 0.0294, 0.0126; 0.0202, -0.1217, -0.0779, 0.9893;
 0.7278, 0.1720, -0.6003;  0.0168, 0.0523, -0.0987, 0.9936;   0.5190, 0.1418, 0.0045; -0.0052, -0.1242, 0.1138, 0.9857;
0.7038, -0.0350, -0.6065;   0.0040, 0.0491, 0.1365, 0.9894;   0.5724, 0.0647, 0.0199; 0.0241, -0.1279, -0.1204, 0.9842;
0.6065, -0.0861, -0.6089;   0.0035, 0.0483, 0.1376, 0.9893;   0.6749, 0.0863, 0.0470; 0.0249, -0.1259, -0.1214, 0.9843;
 0.5362, 0.0791, -0.6050;   0.0108, 0.0509, 0.0155, 0.9985;   0.7074, 0.0972, 0.0561; 0.0092, -0.1238, 0.0009, 0.9923;
 0.5225, 0.2880, -0.5998;  0.0154, 0.0520, -0.0846, 0.9949;   0.7288, 0.0504, 0.0624; -0.0030, -0.1294, 0.1036, 0.9862;
 0.5258, 0.4223, -0.5962;  0.0196, 0.0526, -0.1536, 0.9865;   0.7538, 0.0317, 0.0696; -0.0105, -0.1360, 0.1737, 0.9753;
 0.3892, 0.3452, -0.5999;  0.0135, 0.0517, -0.0476, 0.9974;  0.8597, -0.0525, 0.0978; 0.0025, -0.1362, 0.0635, 0.9886;
 0.3468, 0.1507, -0.6056;   0.0073, 0.0506, 0.0711, 0.9962;  0.8771, -0.0826, 0.1042; 0.0160, -0.1311, -0.0432, 0.9903;
0.4436, -0.0835, -0.6084;   0.0002, 0.0488, 0.1737, 0.9836;  0.8247, -0.0181, 0.0894; 0.0316, -0.1234, -0.1576, 0.9793;
0.5416, -0.2400, -0.6116;  -0.0039, 0.0489, 0.2306, 0.9718;   0.7922, 0.0622, 0.0839; 0.0370, -0.1328, -0.2168, 0.9664;
 0.5310, 0.2777, -0.4596;  0.0179, 0.0399, -0.0468, 0.9979; 0.7521, -0.0002, -0.0924; -0.0023, -0.1241, 0.0631, 0.9903;
 0.6217, 0.4417, -0.4549;  0.0222, 0.0397, -0.1495, 0.9877; 0.7120, -0.0210, -0.1044; -0.0134, -0.1186, 0.1586, 0.9801;
 0.5718, 0.2227, -0.4606;  0.0179, 0.0395, -0.0389, 0.9983;  0.7137, 0.0398, -0.1049; -0.0023, -0.1143, 0.0523, 0.9921;
 0.5986, 0.0309, -0.4654;   0.0146, 0.0391, 0.0544, 0.9976;  0.6914, 0.0956, -0.1093; 0.0074, -0.1213, -0.0417, 0.9917;
0.6245, -0.1189, -0.4685;   0.0102, 0.0380, 0.1420, 0.9891;  0.7077, 0.1209, -0.1069; 0.0179, -0.1174, -0.1250, 0.9850;
 0.5470, 0.0256, -0.4656;   0.0114, 0.0379, 0.0946, 0.9947;  0.7419, 0.0349, -0.0973; 0.0138, -0.1213, -0.0746, 0.9897;
0.3756, -0.0036, -0.4685;   0.0094, 0.0370, 0.1262, 0.9913; 0.9059, -0.0277, -0.0575; 0.0178, -0.1172, -0.1056, 0.9873;
 0.3463, 0.2618, -0.4625;   0.0123, 0.0391, 0.0364, 0.9985; 0.9148, -0.1233, -0.0524; 0.0095, -0.1186, -0.0131, 0.9928;
 0.4689, 0.5319, -0.4543;  0.0193, 0.0399, -0.0994, 0.9941; 0.8618, -0.1505, -0.0661; -0.0071, -0.1187, 0.1148, 0.9862;
 0.3782, 0.5348, -0.4562;  0.0194, 0.0389, -0.1084, 0.9932; 0.9487, -0.1155, -0.0463; -0.0087, -0.1177, 0.1231, 0.9854;
 0.3051, 0.3259, -0.4623;  0.0167, 0.0399, -0.0318, 0.9986; 0.9679, -0.0496, -0.0372; -0.0018, -0.1238, 0.0542, 0.9908;
 0.6318, 0.1590, -0.4613;   0.0119, 0.0399, 0.0760, 0.9962; 0.6477, -0.0517, -0.1182; 0.0125, -0.1208, -0.0540, 0.9911;
 0.7449, 0.3584, -0.4550;  0.0176, 0.0409, -0.0749, 0.9962; 0.5667, -0.0607, -0.1382; -0.0046, -0.1254, 0.0909, 0.9879;
 0.8128, 0.1056, -0.4610;   0.0144, 0.0408, 0.0331, 0.9985;  0.4849, 0.0718, -0.1595; 0.0068, -0.1232, -0.0152, 0.9922;
 0.7532, 0.3012, -0.4565;  0.0195, 0.0409, -0.1162, 0.9922;  0.5537, 0.0427, -0.1424; -0.0091, -0.1225, 0.1283, 0.9841;
 0.7596, 0.0208, -0.4636;   0.0109, 0.0395, 0.1073, 0.9934;  0.5502, 0.0699, -0.1442; 0.0147, -0.1218, -0.0892, 0.9884;
0.6585, -0.0807, -0.4670;   0.0101, 0.0383, 0.1229, 0.9916;  0.6662, 0.1262, -0.1166; 0.0163, -0.1192, -0.1092, 0.9867;
0.6781, -0.2015, -0.4699;   0.0052, 0.0390, 0.1980, 0.9794;  0.6971, 0.1404, -0.1061; 0.0256, -0.1207, -0.1841, 0.9751;
0.8173, -0.1173, -0.4662;   0.0064, 0.0402, 0.1951, 0.9799;  0.5446, 0.1194, -0.1439; 0.0249, -0.1235, -0.1790, 0.9757;
0.7704, -0.0250, -0.4632;   0.0119, 0.0401, 0.0732, 0.9964;  0.5439, 0.1594, -0.1463; 0.0114, -0.1220, -0.0594, 0.9907;
 0.7501, 0.1644, -0.4595;  0.0161, 0.0411, -0.0377, 0.9983;  0.5407, 0.0930, -0.1461; -0.0011, -0.1209, 0.0520, 0.9913;
 0.7606, 0.3026, -0.4561;  0.0185, 0.0419, -0.1057, 0.9933;  0.5467, 0.0352, -0.1432; -0.0082, -0.1232, 0.1187, 0.9852;
 0.6744, 0.2153, -0.4586;   0.0102, 0.0401, 0.0730, 0.9965; 0.6028, -0.0882, -0.1297; 0.0132, -0.1215, -0.0491, 0.9913;
 0.7888, 0.2296, -0.4574;   0.0120, 0.0416, 0.0573, 0.9974; 0.4962, -0.0704, -0.1541; 0.0103, -0.1265, -0.0348, 0.9913;
 0.7260, 0.0895, -0.4601;   0.0106, 0.0404, 0.0873, 0.9953;  0.5719, 0.0305, -0.1377; 0.0136, -0.1229, -0.0683, 0.9900;
 0.5912, 0.1142, -0.4607;   0.0106, 0.0399, 0.0674, 0.9969;  0.6963, 0.0122, -0.1080; 0.0133, -0.1189, -0.0453, 0.9918;
 0.5363, 0.1174, -0.9572;  0.0215, -0.1402, 0.0607, 0.9880;   0.7451, 0.0304, 0.1122; 0.0019, 0.0642, -0.0538, 0.9965;
 0.5246, 0.3928, -0.9518;  0.0043, -0.1390, -0.0581, 0.9886; 0.7681, -0.0559, 0.1098; 0.0109, 0.0670, 0.0674, 0.9954;
 0.6788, 0.4050, -0.9502;  0.0019, -0.1380, -0.0820, 0.9870; 0.6275, -0.0524, 0.1288; 0.0113, 0.0614, 0.0889, 0.9941;
 0.7595, 0.0335, -0.9565;   0.0325, -0.1383, 0.1339, 0.9808;  0.5456, 0.0573, 0.1384; -0.0052, 0.0572, -0.1246, 0.9905;
0.6944, -0.0956, -0.9587;   0.0338, -0.1380, 0.1474, 0.9788;  0.6431, 0.1461, 0.1251; -0.0042, 0.0562, -0.1407, 0.9885;
0.5757, -0.1919, -0.9611;   0.0364, -0.1380, 0.1811, 0.9731;  0.7921, 0.1483, 0.1069; -0.0042, 0.0576, -0.1739, 0.9831;
 0.6420, 0.3474, -0.9497; -0.0025, -0.1377, -0.1081, 0.9846;  0.6549, 0.0516, 0.1242; 0.0135, 0.0604, 0.1146, 0.9915;
 0.6877, 0.4682, -0.9471; -0.0109, -0.1361, -0.1647, 0.9768;  0.6459, 0.0012, 0.1249; 0.0176, 0.0641, 0.1720, 0.9829;
 0.7191, 0.5497, -0.9446; -0.0140, -0.1354, -0.1890, 0.9725; 0.6458, -0.0475, 0.1244; 0.0176, 0.0667, 0.1982, 0.9777;
 0.6414, 0.3136, -0.9495;  0.0099, -0.1392, -0.0179, 0.9901; 0.6423, -0.0355, 0.1261; 0.0055, 0.0620, 0.0333, 0.9975;
 0.6566, 0.1138, -0.9532;   0.0254, -0.1385, 0.0905, 0.9859;  0.6312, 0.0188, 0.1284; -0.0001, 0.0573, -0.0863, 0.9946;
0.7259, -0.0405, -0.9547;   0.0353, -0.1374, 0.1609, 0.9767;  0.6036, 0.0964, 0.1307; -0.0055, 0.0575, -0.1547, 0.9863;
0.7132, -0.1793, -0.9569;   0.0478, -0.1332, 0.2632, 0.9543;  0.6784, 0.0745, 0.1243; -0.0111, 0.0529, -0.2562, 0.9651;
0.6002, -0.2788, -0.9587;   0.0459, -0.1352, 0.2673, 0.9530;  0.8279, 0.0969, 0.1039; -0.0096, 0.0540, -0.2612, 0.9637;
0.5073, -0.1773, -0.9568;   0.0398, -0.1372, 0.2351, 0.9614;  0.8591, 0.0214, 0.0992; -0.0054, 0.0512, -0.2257, 0.9728;
0.4195, -0.0161, -0.9547;   0.0310, -0.1383, 0.1495, 0.9786;  0.8863, 0.0002, 0.0969; -0.0031, 0.0521, -0.1377, 0.9891;
 0.3812, 0.1636, -0.9512;   0.0171, -0.1397, 0.0393, 0.9893;  0.8955, 0.0243, 0.0931; 0.0037, 0.0743, -0.0296, 0.9968;
 0.6462, 0.1961, -0.9488;   0.0132, -0.1381, 0.0043, 0.9903;  0.6354, 0.0611, 0.1272; 0.0054, 0.0588, -0.0037, 0.9983;
 0.7094, 0.3400, -0.9458;  0.0010, -0.1378, -0.0755, 0.9876;  0.5872, 0.0198, 0.1333; 0.0117, 0.0591, 0.0812, 0.9949;
 0.6929, 0.5196, -0.9420; -0.0071, -0.1370, -0.1277, 0.9823; 0.6453, -0.0838, 0.1248; 0.0165, 0.0639, 0.1362, 0.9885;
 0.5421, 0.5305, -0.9434; -0.0025, -0.1389, -0.0966, 0.9856; 0.7857, -0.1083, 0.1071; 0.0144, 0.0594, 0.0989, 0.9932;
 0.5534, 0.3548, -0.9460;  0.0106, -0.1390, -0.0083, 0.9902; 0.7303, -0.0716, 0.1161; 0.0058, 0.0570, 0.0137, 0.9983;
 0.6470, 0.1701, -0.9469;   0.0262, -0.1377, 0.1045, 0.9846; 0.6306, -0.0410, 0.1285; -0.0005, 0.0589, -0.0961, 0.9936;
 0.7088, 0.0426, -0.9487;   0.0275, -0.1378, 0.1069, 0.9843;  0.5973, 0.0941, 0.1309; -0.0024, 0.0599, -0.1027, 0.9929;
0.6909, -0.0353, -0.9493;   0.0313, -0.1373, 0.1397, 0.9801;  0.6395, 0.1248, 0.1256; -0.0038, 0.0582, -0.1328, 0.9894;
