t_Robot_config_x, t_Robot_config_y, t_Robot_config_z; q_Robot_config_x, q_Robot_config_y, q_Robot_config_z, q_Robot_config_w; t_camera_config_x, t_camera_config_y, t_camera_config_z; q_camera_config_x, q_camera_config_y, q_camera_config_z, q_camera_config_w
  0.2355, -0.4574, -0.4367;  -0.0024, -0.0041,  0.9953, -0.0971;   0.1865, -0.5162, -0.4014;  -0.0551, -0.0185,  0.9922, -0.1102;
  0.2213, -0.6264, -0.4384;  -0.0037, -0.0029,  0.9342, -0.3568;   0.2088, -0.7020, -0.4032;  -0.0506, -0.0306,  0.9276, -0.3688;
 -1.5712, -0.6793, -0.4451;  -0.0084,  0.0001,  0.9538,  0.3003;  -1.6477, -0.6851, -0.4106;  -0.0624,  0.0077,  0.9559,  0.2868;
 -2.0093, -0.6808, -0.4441;  -0.0096,  0.0017,  0.9325,  0.3611;  -2.0860, -0.6762, -0.4100;  -0.0630,  0.0127,  0.9354,  0.3477;
 -2.0118, -0.4920, -0.4398;  -0.0006,  0.0087,  0.0537,  0.9985;  -1.9572, -0.4378, -0.4054;  -0.0125,  0.0618,  0.0672,  0.9957;
 -1.1867, -1.2195, -0.4397;   0.0002,  0.0100, -0.0991,  0.9950;  -1.1184, -1.1841, -0.4051;  -0.0035,  0.0644, -0.0854,  0.9943;
 -0.9053, -1.3603, -0.4392;   0.0016,  0.0087, -0.1601,  0.9871;  -0.8325, -1.3343, -0.4040;   0.0012,  0.0632, -0.1463,  0.9872;
 -1.1789, -1.4238, -0.4398;   0.0049,  0.0069, -0.5590,  0.8291;  -1.1119, -1.4614, -0.4052;   0.0274,  0.0565, -0.5466,  0.8350;
 -1.3886, -1.6773, -0.4385;  -0.0079, -0.0048,  0.7490, -0.6625;  -1.3484, -1.7427, -0.4034;   0.0421,  0.0472, -0.7383,  0.6715;
 -1.2271, -1.2812, -0.4392;   0.0004,  0.0089, -0.1767,  0.9842;  -1.1539, -1.2570, -0.4043;   0.0011,  0.0634, -0.1629,  0.9846;
 -1.5194, -0.9957, -0.4407;  -0.0088,  0.0051,  0.7785,  0.6276;  -1.5764, -0.9463, -0.4054;  -0.0564,  0.0318,  0.7853,  0.6157;
 -1.9021, -0.5895, -0.4415;  -0.0100,  0.0016,  0.9440,  0.3297;  -1.9788, -0.5897, -0.4071;  -0.0638,  0.0108,  0.9465,  0.3162;
 -2.4848, -0.3892, -0.4413;  -0.0104,  0.0022,  0.9194,  0.3931;  -2.5616, -0.3792, -0.4068;  -0.0633,  0.0150,  0.9227,  0.3799;
 -2.1070, -0.6259, -0.4410;  -0.0018,  0.0079,  0.2479,  0.9687;  -2.0773, -0.5551, -0.4063;  -0.0239,  0.0577,  0.2606,  0.9634;
 -1.2076, -1.1133, -0.4401;  -0.0002,  0.0083, -0.0857,  0.9963;  -1.1429, -1.0775, -0.4054;  -0.0046,  0.0627, -0.0720,  0.9954;
 -1.3295, -0.9113, -0.4398;  -0.0052,  0.0057,  0.5653,  0.8249;  -1.3534, -0.8394, -0.4053;  -0.0431,  0.0450,  0.5753,  0.8156;
 -1.7408, -0.7334, -0.4408;  -0.0059,  0.0046,  0.5888,  0.8082;  -1.7688, -0.6618, -0.4058;  -0.0449,  0.0428,  0.5985,  0.7987;
 -1.4949, -1.4629, -0.4413;   0.0031,  0.0086, -0.3347,  0.9423;  -1.4185, -1.4636, -0.4065;   0.0126,  0.0623, -0.3212,  0.9449;
 -1.6728, -2.1019, -0.4392;   0.0069,  0.0058, -0.6021,  0.7984;  -1.6101, -2.1461, -0.4042;   0.0321,  0.0540, -0.5899,  0.8050;
 -1.7332, -2.2626, -0.4396;  -0.0109, -0.0033,  0.7496, -0.6618;  -1.6933, -2.3280, -0.4046;   0.0451,  0.0456, -0.7389,  0.6708;
