t_Robot_config_x, t_Robot_config_y, t_Robot_config_z; q_Robot_config_x, q_Robot_config_y, q_Robot_config_z, q_Robot_config_w; t_camera_config_x, t_camera_config_y, t_camera_config_z; q_camera_config_x, q_camera_config_y, q_camera_config_z, q_camera_config_w
-0.8063, 0.5826, -0.2968; -0.0949, -0.0505, 0.8884, -0.4463; -0.0521, -0.2811, 1.1598; 0.0069, 0.9868, 0.1551, 0.0468;
-1.1545, -0.0379, -0.3032; -0.0945, -0.0508, 0.8940, -0.4351; 0.0316, -0.0996, 0.4869; 0.0038, 0.9920, 0.1253, 0.0152;
-1.0845, -0.2308, -0.3033; -0.1016, -0.0299, 0.9687, -0.2244; 0.0141, -0.0828, 0.4340; 0.0331, 0.9602, 0.1257, 0.2474;
-0.8939, -0.1636, -0.3018; -0.1043, -0.0255, 0.9751, -0.1942; -0.0038, -0.1366, 0.6262; 0.0389, 0.9513, 0.1277, 0.2779;
-0.6781, -0.0399, -0.2996; -0.1028, -0.0271, 0.9723, -0.2080; -0.0106, -0.1988, 0.8640; 0.0358, 0.9559, 0.1276, 0.2619;
-0.7625, 0.1359, -0.2989; -0.0995, -0.0372, 0.9480, -0.3000; -0.0320, -0.2025, 0.8808; 0.0240, 0.9759, 0.1349, 0.1697;
-0.9351, -0.0500, -0.3012; -0.1004, -0.0374, 0.9474, -0.3016; 0.0249, -0.1409, 0.6430; 0.0234, 0.9776, 0.1264, 0.1666;
-1.1180, -0.1982, -0.3022; -0.0999, -0.0364, 0.9498, -0.2944; 0.0350, -0.0792, 0.4179; 0.0243, 0.9762, 0.1258, 0.1751;
-1.0593, -0.0113, -0.3013; -0.0960, -0.0475, 0.9068, -0.4076; 0.0558, -0.1207, 0.5686; 0.0091, 0.9911, 0.1219, 0.0519;
-1.2314, 0.2326, -0.3017; 0.0864, 0.0599, -0.8152, 0.5696; 0.0209, -0.1467, 0.6705; -0.0102, 0.9841, 0.1344, -0.1156;
-1.3129, 0.0656, -0.3020; 0.0869, 0.0593, -0.8144, 0.5706; 0.0041, -0.0984, 0.4935; -0.0096, 0.9835, 0.1326, -0.1226;
-1.3967, -0.0494, -0.3032; 0.0853, 0.0611, -0.8047, 0.5843; -0.0215, -0.0633, 0.3637; -0.0135, 0.9817, 0.1275, -0.1407;
-1.4003, -0.0952, -0.3036; 0.0783, 0.0650, -0.7939, 0.5995; 0.0021, -0.0501, 0.3211; -0.0207, 0.9789, 0.1250, -0.1606;
-1.0999, 0.2521, -0.3009; 0.0881, 0.0606, -0.8491, 0.5174; 0.0420, -0.1683, 0.7424; -0.0066, 0.9924, 0.1161, -0.0406;
-0.9022, -0.0022, -0.2958; -0.1007, -0.0453, 0.9332, -0.3419; 0.0716, -0.1418, 0.7016; 0.0139, 0.9846, 0.1242, 0.1226;
-1.1622, -0.0114, -0.3038; -0.0988, -0.0610, 0.8828, -0.4552; 0.0360, -0.1130, 0.5000; -0.0044, 0.9923, 0.1237, -0.0028;
-1.2146, -0.1002, -0.3048; -0.0987, -0.0614, 0.8803, -0.4600; 0.0502, -0.0842, 0.4017; -0.0037, 0.9912, 0.1325, -0.0076;
-1.3268, 0.0178, -0.3040; 0.0827, 0.0773, -0.7490, 0.6528; 0.1041, -0.0909, 0.4321; -0.0289, 0.9603, 0.1513, -0.2325;
-1.1922, 0.2286, -0.3027; 0.0828, 0.0767, -0.7544, 0.6467; 0.1961, -0.1536, 0.6519; -0.0268, 0.9613, 0.1604, -0.2226;
-0.8653, 0.0076, -0.3025; -0.1042, -0.0494, 0.9309, -0.3467; 0.0910, -0.1749, 0.7229; 0.0125, 0.9846, 0.1303, 0.1160;
