t_Robot_config_x, t_Robot_config_y, t_Robot_config_z; q_Robot_config_x, q_Robot_config_y, q_Robot_config_z, q_Robot_config_w; t_camera_config_x, t_camera_config_y, t_camera_config_z; q_camera_config_x, q_camera_config_y, q_camera_config_z, q_camera_config_w
-0.8648,  0.0069, -0.3032; -0.1041, -0.0494,  0.9310, -0.3463; -0.0100, -0.1736,  0.7199;  0.0182,  0.9839,  0.1330,  0.1179;
-1.1130, -0.3330, -0.3049; -0.1110, -0.0328,  0.9739, -0.1954; -0.0266, -0.0731,  0.3706;  0.0403,  0.9509,  0.1355,  0.2753;
-0.9223, -0.1997, -0.3040; -0.1093, -0.0389,  0.9601, -0.2544; -0.0040, -0.1342,  0.5796;  0.0327,  0.9662,  0.1377,  0.2156;
-0.7617, -0.0415, -0.3034; -0.1107, -0.0367,  0.9647, -0.2363; -0.0952, -0.1954,  0.7876;  0.0341,  0.9622,  0.1418,  0.2300;
-0.6706,  0.0214, -0.3011; -0.1057, -0.0432,  0.9504, -0.2893; -0.0062, -0.2188,  0.8895;  0.0257,  0.9753,  0.1304,  0.1762;
-0.9580,  0.1968, -0.3022; -0.0992, -0.0605,  0.8854, -0.4501; -0.0303, -0.1903,  0.7726;  0.0064,  0.9955,  0.0920,  0.0219;
-1.1325,  0.0644, -0.3044;  0.0918,  0.0680, -0.8313,  0.5440;  0.0375, -0.1275,  0.5594; -0.0082,  0.9843,  0.1501, -0.0929;
-1.2848, -0.0084, -0.3057;  0.0894,  0.0695, -0.8134,  0.5706; -0.0431, -0.0912,  0.4350; -0.0123,  0.9837,  0.1334, -0.1196;
-1.3430, -0.1236, -0.3065;  0.0877,  0.0721, -0.7995,  0.5899; -0.0421, -0.0564,  0.3108; -0.0164,  0.9803,  0.1334, -0.1444;
-1.3581,  0.0388, -0.3054;  0.0873,  0.0718, -0.7929,  0.5988; -0.0959, -0.0955,  0.4543; -0.0162,  0.9791,  0.1309, -0.1551;
-1.2611,  0.0413, -0.3050;  0.0891,  0.0714, -0.7993,  0.5900; -0.0140, -0.1065,  0.4843; -0.0142,  0.9799,  0.1389, -0.1425;
-1.1775,  0.1743, -0.3046;  0.0886,  0.0708, -0.8054,  0.5818;  0.0121, -0.1477,  0.6310; -0.0140,  0.9802,  0.1453, -0.1341;
-1.0721,  0.3211, -0.3031;  0.0880,  0.0724, -0.7966,  0.5937;  0.0891, -0.1946,  0.7901; -0.0139,  0.9750,  0.1603, -0.1536;
-0.9002,  0.4852, -0.3017;  0.0943,  0.0654, -0.8473,  0.5185;  0.0126, -0.2609,  1.0205; -0.0038,  0.9841,  0.1697, -0.0533;
-0.9054,  0.2176, -0.3025; -0.1003, -0.0576,  0.8918, -0.4374; -0.0256, -0.2042,  0.8189;  0.0072,  0.9969,  0.0765,  0.0186;
-0.9879,  0.0243, -0.3030; -0.0986, -0.0592,  0.8828, -0.4554;  0.0559, -0.1470,  0.6248;  0.0027,  0.9938,  0.1114, -0.0036;
-1.0753, -0.0767, -0.3047; -0.0984, -0.0596,  0.8862, -0.4488;  0.0352, -0.1112,  0.5004;  0.0043,  0.9924,  0.1229,  0.0039;
-1.0063, -0.0994, -0.3039; -0.1037, -0.0497,  0.9277, -0.3551; -0.0097, -0.1252,  0.5504;  0.0166,  0.9843,  0.1396,  0.1064;
-1.0958, -0.1806, -0.3045; -0.1039, -0.0475,  0.9355, -0.3342; -0.0284, -0.0924,  0.4386;  0.0198,  0.9819,  0.1357,  0.1306;
-1.1380, -0.2406, -0.3046; -0.1047, -0.0457,  0.9375, -0.3286; -0.0128, -0.0737,  0.3733;  0.0221,  0.9810,  0.1350,  0.1378;
