t_Robot_config_x, t_Robot_config_y, t_Robot_config_z; q_Robot_config_x, q_Robot_config_y, q_Robot_config_z, q_Robot_config_w; t_camera_config_x, t_camera_config_y, t_camera_config_z; q_camera_config_x, q_camera_config_y, q_camera_config_z, q_camera_config_w
-0.7432, -0.6602, -0.3271; 0.0847, 0.0812, -0.7821, 0.6120; 0.0645, -0.1444, 0.6860; 0.0346, 0.9734, 0.1396, 0.1782;
-1.1031, -0.8542, -0.3282; 0.0604, 0.0976, -0.5588, 0.8213; 0.0110, -0.0801, 0.4703; -0.0023, 0.9831, 0.1387, -0.1194;
-0.8496, -0.6196, -0.3255; 0.0798, 0.0866, -0.7388, 0.6636; 0.0364, -0.1485, 0.7012; 0.0255, 0.9832, 0.1431, 0.1105;
-1.1811, -0.8070, -0.3278; 0.0569, 0.0994, -0.5360, 0.8364; -0.0201, -0.1026, 0.5491; -0.0072, 0.9801, 0.1351, -0.1451;
-0.7498, -0.8310, -0.3269; 0.0870, 0.0777, -0.8039, 0.5833; 0.0660, -0.0932, 0.5151; 0.0406, 0.9663, 0.1357, 0.2148;
-1.0330, -0.4279, -0.3256; 0.0714, 0.0929, -0.6509, 0.7501; 0.0387, -0.2082, 0.8972; 0.0101, 0.9900, 0.1388, -0.0212;
-0.9552, -0.8510, -0.3275; 0.0688, 0.0933, -0.6516, 0.7497; 0.0612, -0.0729, 0.4439; 0.0090, 0.9918, 0.1267, -0.0152;
-0.7406, -0.8550, -0.3262; 0.0856, 0.0784, -0.7892, 0.6031; 0.1091, -0.0848, 0.4899; 0.0380, 0.9719, 0.1338, 0.1901;
-0.7298, -0.4244, -0.3233; 0.0866, 0.0787, -0.7908, 0.6008; -0.0143, -0.2154, 0.9311; 0.0385, 0.9707, 0.1399, 0.1915;
-0.7773, -0.2383, -0.3216; 0.0816, 0.0838, -0.7567, 0.6433; 0.0045, -0.2663, 1.1091; 0.0291, 0.9792, 0.1461, 0.1374;
-1.2428, -0.3696, -0.3245; 0.0603, 0.0988, -0.5542, 0.8243; 0.0705, -0.2346, 0.9959; -0.0024, 0.9813, 0.1538, -0.1159;
-1.1336, -0.7161, -0.3265; 0.0556, 0.0994, -0.5239, 0.8442; 0.0879, -0.1198, 0.6121; -0.0078, 0.9750, 0.1494, -0.1643;
-0.8589, -0.8149, -0.3269; 0.0773, 0.0866, -0.7189, 0.6853; 0.0810, -0.0860, 0.4924; 0.0223, 0.9876, 0.1323, 0.0811;
-0.9041, -0.6191, -0.3261; 0.0750, 0.0894, -0.6981, 0.7064; 0.0617, -0.1456, 0.6942; 0.0173, 0.9903, 0.1297, 0.0457;
-0.9485, -0.8584, -0.3280; 0.0691, 0.0926, -0.6500, 0.7511; 0.0701, -0.0700, 0.4360; 0.0087, 0.9917, 0.1269, -0.0183;
-1.0006, -0.9828, -0.3280; 0.0610, 0.0958, -0.5754, 0.8099; 0.0537, -0.0317, 0.3081; -0.0010, 0.9856, 0.1304, -0.1075;
-0.8146, -0.8498, -0.3272; 0.0816, 0.0821, -0.7620, 0.6371; 0.0707, -0.0789, 0.4715; 0.0307, 0.9797, 0.1333, 0.1468;
-1.1040, -0.7976, -0.3274; 0.0607, 0.0957, -0.5654, 0.8170; 0.0242, -0.0944, 0.5280; -0.0012, 0.9834, 0.1405, -0.1149;
-1.1525, -0.6174, -0.3269; 0.0601, 0.0971, -0.5622, 0.8191; 0.0485, -0.1519, 0.7231; -0.0027, 0.9821, 0.1488, -0.1156;
