t_Robot_config_x, t_Robot_config_y, t_Robot_config_z; q_Robot_config_x, q_Robot_config_y, q_Robot_config_z, q_Robot_config_w; t_camera_config_x, t_camera_config_y, t_camera_config_z; q_camera_config_x, q_camera_config_y, q_camera_config_z, q_camera_config_w
-1.1521, -0.6175, -0.3272; 0.0604, 0.0973, -0.5625, 0.8188; -0.0633, -0.1506, 0.7229; 0.0035, 0.9850, 0.1348, -0.1081;
-0.8316, -0.8102, -0.3272; 0.0780, 0.0870, -0.7184, 0.6857; 0.0003, -0.0874, 0.4972; 0.0281, 0.9876, 0.1320, 0.0799;
-0.8065, -0.9522, -0.3285; 0.0807, 0.0835, -0.7473, 0.6543; 0.0060, -0.0476, 0.3593; 0.0341, 0.9824, 0.1333, 0.1263;
-1.0933, -0.6966, -0.3259; 0.0625, 0.0949, -0.5831, 0.8044; -0.0650, -0.1205, 0.6267; 0.0068, 0.9875, 0.1334, -0.0841;
-0.9980, -0.5151, -0.3273; 0.0694, 0.0923, -0.6448, 0.7556; -0.0327, -0.1737, 0.7985; 0.0167, 0.9898, 0.1418, -0.0020;
-0.8160, -0.5747, -0.3265; 0.0791, 0.0846, -0.7334, 0.6699; -0.0301, -0.1591, 0.7503; 0.0297, 0.9849, 0.1411, 0.0954;
-0.7064, -0.7227, -0.3278; 0.0831, 0.0807, -0.7714, 0.6258; 0.0326, -0.1233, 0.6270; 0.0379, 0.9777, 0.1324, 0.1588;
-1.1913, -0.7224, -0.3280; 0.0589, 0.0968, -0.5517, 0.8263; -0.1276, -0.1228, 0.6360; 0.0018, 0.9841, 0.1292, -0.1217;
-1.1405, -0.8520, -0.3291; 0.0506, 0.1016, -0.4819, 0.8688; -0.0467, -0.0816, 0.4838; -0.0105, 0.9695, 0.1311, -0.2066;
-1.0736, -0.9611, -0.3295; 0.0510, 0.1012, -0.4938, 0.8621; -0.0562, -0.0430, 0.3500; -0.0097, 0.9724, 0.1293, -0.1938;
-0.7994, -0.8763, -0.3282; 0.0838, 0.0786, -0.7766, 0.6195; -0.0399, -0.0717, 0.4476; 0.0404, 0.9746, 0.1392, 0.1706;
-0.7403, -0.3422, -0.3243; 0.0809, 0.0840, -0.7532, 0.6474; -0.0358, -0.2335, 1.0088; 0.0324, 0.9808, 0.1460, 0.1249;
-1.0327, -0.3174, -0.3250; 0.0721, 0.0925, -0.6456, 0.7546; -0.0410, -0.2364, 1.0048; 0.0184, 0.9870, 0.1598, 0.0017;
-1.0328, -0.3174, -0.3252; 0.0721, 0.0923, -0.6455, 0.7548; -0.0410, -0.2365, 1.0057; 0.0190, 0.9871, 0.1588, 0.0016;
-1.2313, -0.6470, -0.3284; 0.0476, 0.1029, -0.4702, 0.8753; 0.0058, -0.1482, 0.7153; -0.0138, 0.9661, 0.1362, -0.2189;
-0.9061, -0.7914, -0.3279; 0.0698, 0.0934, -0.6529, 0.7484; 0.0118, -0.0882, 0.4986; 0.0156, 0.9908, 0.1345, -0.0037;
-0.9074, -0.7936, -0.3281; 0.0714, 0.0938, -0.6529, 0.7482; 0.0113, -0.0885, 0.4989; 0.0161, 0.9916, 0.1281, -0.0053;
-1.3240, -0.4889, -0.3272; 0.0515, 0.1024, -0.4930, 0.8625; -0.0353, -0.2069, 0.9148; -0.0098, 0.9718, 0.1370, -0.1915;
-1.2012, -0.3607, -0.3272; 0.0656, 0.0961, -0.5892, 0.7995; -0.0841, -0.2342, 0.9980; 0.0102, 0.9879, 0.1385, -0.0695;
